Participant Private ID,Condition,Article_ID,Question_ID,Accuracy,Given_Answer,Metacomprehension,Summary_Text,AI_Feedback
14569745,Control,Migration,Q7,0,A,4,NA,NA
14569745,Control,Migration,Q8,0,A,4,NA,NA
14569745,Control,Migration,Q9,0,A,4,NA,NA
14569745,Control,Migration,Q10,1,C,4,NA,NA
14583982,Control,Migration,Q1,1,C,6,NA,NA
14583982,Control,Migration,Q2,1,A,6,NA,NA
14583982,Control,Migration,Q3,1,A,6,NA,NA
14583982,Control,Migration,Q4,1,C,6,NA,NA
14583982,Control,Migration,Q5,1,C,6,NA,NA
14583982,Control,Migration,Q6,1,C,6,NA,NA
14583982,Control,Migration,Q7,1,D,6,NA,NA
14583982,Control,Migration,Q8,0,A,6,NA,NA
14583982,Control,Migration,Q9,1,B,6,NA,NA
14583982,Control,Migration,Q10,0,B,6,NA,NA
14583982,Control,Depression,Q1,1,D,5,NA,NA
14583982,Control,Depression,Q2,1,A,5,NA,NA
14583982,Control,Depression,Q3,0,D,5,NA,NA
14583982,Control,Depression,Q4,0,D,5,NA,NA
14583982,Control,Depression,Q5,1,A,5,NA,NA
14583982,Control,Depression,Q6,1,B,5,NA,NA
14583982,Control,Depression,Q7,1,C,5,NA,NA
14583982,Control,Depression,Q8,1,A,5,NA,NA
14583982,Control,Depression,Q9,1,C,5,NA,NA
14583982,Control,Depression,Q10,1,B,5,NA,NA
14583982,Control,Star,Q1,1,C,4,NA,NA
14583982,Control,Star,Q2,0,B,4,NA,NA
14583982,Control,Star,Q3,0,A,4,NA,NA
14583982,Control,Star,Q4,1,B,4,NA,NA
14583982,Control,Star,Q5,1,C,4,NA,NA
14583982,Control,Star,Q6,1,D,4,NA,NA
14583982,Control,Star,Q7,0,D,4,NA,NA
14583982,Control,Star,Q8,0,B,4,NA,NA
14583982,Control,Star,Q9,1,A,4,NA,NA
14583982,Control,Star,Q10,1,C,4,NA,NA
14583982,Control,Charities,Q1,1,C,7,NA,NA
14583982,Control,Charities,Q2,1,D,7,NA,NA
14583982,Control,Charities,Q3,1,D,7,NA,NA
14583982,Control,Charities,Q4,1,B,7,NA,NA
14583982,Control,Charities,Q5,1,A,7,NA,NA
14583982,Control,Charities,Q6,1,A,7,NA,NA
14583982,Control,Charities,Q7,1,B,7,NA,NA
14583982,Control,Charities,Q8,1,A,7,NA,NA
14583982,Control,Charities,Q9,1,D,7,NA,NA
14583982,Control,Charities,Q10,1,B,7,NA,NA
14583982,Control,Reggaeton,Q1,1,B,6,NA,NA
14583982,Control,Reggaeton,Q2,0,B,6,NA,NA
14583982,Control,Reggaeton,Q3,0,D,6,NA,NA
14583982,Control,Reggaeton,Q4,0,B,6,NA,NA
14583982,Control,Reggaeton,Q5,1,C,6,NA,NA
14583982,Control,Reggaeton,Q6,0,C,6,NA,NA
14583982,Control,Reggaeton,Q7,1,C,6,NA,NA
14583982,Control,Reggaeton,Q8,0,D,6,NA,NA
14583982,Control,Reggaeton,Q9,1,B,6,NA,NA
14583982,Control,Reggaeton,Q10,1,C,6,NA,NA
14599171,Control,Depression,Q1,1,D,3,NA,NA
14599171,Control,Depression,Q2,1,A,3,NA,NA
14599171,Control,Depression,Q3,1,C,3,NA,NA
14599171,Control,Depression,Q4,0,D,3,NA,NA
14599171,Control,Depression,Q5,0,C,3,NA,NA
14599171,Control,Depression,Q6,1,B,3,NA,NA
14599171,Control,Depression,Q7,1,C,3,NA,NA
14599171,Control,Depression,Q8,0,D,3,NA,NA
14599171,Control,Depression,Q9,0,D,3,NA,NA
14599171,Control,Depression,Q10,0,A,3,NA,NA
14599171,Control,Migration,Q1,1,C,5,NA,NA
14599171,Control,Migration,Q2,1,A,5,NA,NA
14599171,Control,Migration,Q3,0,B,5,NA,NA
14599171,Control,Migration,Q4,1,C,5,NA,NA
14599171,Control,Migration,Q5,1,C,5,NA,NA
14599171,Control,Migration,Q6,1,C,5,NA,NA
14599171,Control,Migration,Q7,0,A,5,NA,NA
14599171,Control,Migration,Q8,1,C,5,NA,NA
14599171,Control,Migration,Q9,1,B,5,NA,NA
14599171,Control,Migration,Q10,0,D,5,NA,NA
14599171,Control,Charities,Q1,1,C,4,NA,NA
14599171,Control,Charities,Q2,1,D,4,NA,NA
14599171,Control,Charities,Q3,1,D,4,NA,NA
14599171,Control,Charities,Q4,1,B,4,NA,NA
14599171,Control,Charities,Q5,1,A,4,NA,NA
14599171,Control,Charities,Q6,0,C,4,NA,NA
14599171,Control,Charities,Q7,1,B,4,NA,NA
14599171,Control,Charities,Q8,1,A,4,NA,NA
14599171,Control,Charities,Q9,1,D,4,NA,NA
14599171,Control,Charities,Q10,0,C,4,NA,NA
14599171,Control,Reggaeton,Q1,1,B,6,NA,NA
14599171,Control,Reggaeton,Q2,1,A,6,NA,NA
14599171,Control,Reggaeton,Q3,1,B,6,NA,NA
14599171,Control,Reggaeton,Q4,0,B,6,NA,NA
14599171,Control,Reggaeton,Q5,1,C,6,NA,NA
14599171,Control,Reggaeton,Q6,0,C,6,NA,NA
14599171,Control,Reggaeton,Q7,1,C,6,NA,NA
14599171,Control,Reggaeton,Q8,1,A,6,NA,NA
14599171,Control,Reggaeton,Q9,1,B,6,NA,NA
14599171,Control,Reggaeton,Q10,0,B,6,NA,NA
14599171,Control,Star,Q1,1,C,3,NA,NA
14599171,Control,Star,Q2,1,A,3,NA,NA
14599171,Control,Star,Q3,1,B,3,NA,NA
14599171,Control,Star,Q4,1,B,3,NA,NA
14599171,Control,Star,Q5,1,C,3,NA,NA
14599171,Control,Star,Q6,1,D,3,NA,NA
14599171,Control,Star,Q7,1,B,3,NA,NA
14599171,Control,Star,Q8,1,C,3,NA,NA
14599171,Control,Star,Q9,0,C,3,NA,NA
14599171,Control,Star,Q10,1,C,3,NA,NA
14654618,Control,Charities,Q1,0,B,3,NA,NA
14654618,Control,Charities,Q2,0,C,3,NA,NA
14654618,Control,Charities,Q3,0,C,3,NA,NA
14654618,Control,Charities,Q4,1,B,3,NA,NA
14654618,Control,Charities,Q5,0,C,3,NA,NA
14654618,Control,Charities,Q6,0,B,3,NA,NA
14654618,Control,Charities,Q7,0,D,3,NA,NA
14654618,Control,Charities,Q8,0,C,3,NA,NA
14654618,Control,Charities,Q9,0,B,3,NA,NA
14654618,Control,Charities,Q10,0,D,3,NA,NA
14654618,Control,Depression,Q1,0,B,2,NA,NA
14654618,Control,Depression,Q2,0,C,2,NA,NA
14654618,Control,Depression,Q3,0,B,2,NA,NA
14654618,Control,Depression,Q4,0,C,2,NA,NA
14654618,Control,Depression,Q5,1,A,2,NA,NA
14654618,Control,Depression,Q6,1,B,2,NA,NA
14654618,Control,Depression,Q7,0,D,2,NA,NA
14654618,Control,Depression,Q8,0,C,2,NA,NA
14654618,Control,Depression,Q9,1,C,2,NA,NA
14654618,Control,Depression,Q10,1,B,2,NA,NA
14654618,Control,Star,Q1,0,A,5,NA,NA
14654618,Control,Star,Q2,0,B,5,NA,NA
14654618,Control,Star,Q3,0,C,5,NA,NA
14654618,Control,Star,Q4,1,B,5,NA,NA
14654618,Control,Star,Q5,1,C,5,NA,NA
14654618,Control,Star,Q6,0,B,5,NA,NA
14654618,Control,Star,Q7,0,A,5,NA,NA
14654618,Control,Star,Q8,0,A,5,NA,NA
14654618,Control,Star,Q9,0,B,5,NA,NA
14654618,Control,Star,Q10,0,D,5,NA,NA
14654618,Control,Reggaeton,Q1,1,B,2,NA,NA
14654618,Control,Reggaeton,Q2,1,A,2,NA,NA
14654618,Control,Reggaeton,Q3,0,A,2,NA,NA
14654618,Control,Reggaeton,Q4,0,C,2,NA,NA
14654618,Control,Reggaeton,Q5,0,D,2,NA,NA
14654618,Control,Reggaeton,Q6,1,D,2,NA,NA
14654618,Control,Reggaeton,Q7,0,D,2,NA,NA
14654618,Control,Reggaeton,Q8,0,D,2,NA,NA
14654618,Control,Reggaeton,Q9,1,B,2,NA,NA
14654618,Control,Reggaeton,Q10,0,B,2,NA,NA
14654618,Control,Migration,Q1,0,B,2,NA,NA
14654618,Control,Migration,Q2,0,D,2,NA,NA
14654618,Control,Migration,Q3,0,C,2,NA,NA
14654618,Control,Migration,Q4,0,A,2,NA,NA
14654618,Control,Migration,Q5,0,B,2,NA,NA
14654618,Control,Migration,Q6,0,B,2,NA,NA
14654618,Control,Migration,Q7,0,A,2,NA,NA
14654618,Control,Migration,Q8,0,D,2,NA,NA
14654618,Control,Migration,Q9,1,B,2,NA,NA
14654618,Control,Migration,Q10,0,A,2,NA,NA
14674977,Control,Reggaeton,Q1,0,A,7,NA,NA
14674977,Control,Reggaeton,Q2,1,A,7,NA,NA
14674977,Control,Reggaeton,Q3,1,B,7,NA,NA
14674977,Control,Reggaeton,Q4,0,B,7,NA,NA
14674977,Control,Reggaeton,Q5,1,C,7,NA,NA
14674977,Control,Reggaeton,Q6,0,C,7,NA,NA
14674977,Control,Reggaeton,Q7,1,C,7,NA,NA
14674977,Control,Reggaeton,Q8,0,D,7,NA,NA
14674977,Control,Reggaeton,Q9,1,B,7,NA,NA
14674977,Control,Reggaeton,Q10,1,C,7,NA,NA
14674977,Control,Migration,Q1,1,C,6,NA,NA
14674977,Control,Migration,Q2,1,A,6,NA,NA
14674977,Control,Migration,Q3,1,A,6,NA,NA
14674977,Control,Migration,Q4,1,C,6,NA,NA
14674977,Control,Migration,Q5,0,D,6,NA,NA
14674977,Control,Migration,Q6,0,A,6,NA,NA
14674977,Control,Migration,Q7,0,A,6,NA,NA
14674977,Control,Migration,Q8,0,B,6,NA,NA
14674977,Control,Migration,Q9,1,B,6,NA,NA
14674977,Control,Migration,Q10,0,A,6,NA,NA
14674977,Control,Charities,Q1,1,C,6,NA,NA
14674977,Control,Charities,Q2,1,D,6,NA,NA
14674977,Control,Charities,Q3,1,D,6,NA,NA
14674977,Control,Charities,Q4,0,A,6,NA,NA
14674977,Control,Charities,Q5,1,A,6,NA,NA
14674977,Control,Charities,Q6,0,D,6,NA,NA
14674977,Control,Charities,Q7,1,B,6,NA,NA
14674977,Control,Charities,Q8,1,A,6,NA,NA
14674977,Control,Charities,Q9,1,D,6,NA,NA
14674977,Control,Charities,Q10,0,A,6,NA,NA
14674977,Control,Star,Q1,1,C,3,NA,NA
14674977,Control,Star,Q2,0,B,3,NA,NA
14674977,Control,Star,Q3,0,C,3,NA,NA
14674977,Control,Star,Q4,0,C,3,NA,NA
14674977,Control,Star,Q5,0,D,3,NA,NA
14674977,Control,Star,Q6,0,B,3,NA,NA
14674977,Control,Star,Q7,1,B,3,NA,NA
14674977,Control,Star,Q8,1,C,3,NA,NA
14674977,Control,Star,Q9,0,D,3,NA,NA
14674977,Control,Star,Q10,0,A,3,NA,NA
14674977,Control,Depression,Q1,0,B,6,NA,NA
14674977,Control,Depression,Q2,1,A,6,NA,NA
14674977,Control,Depression,Q3,1,C,6,NA,NA
14674977,Control,Depression,Q4,0,A,6,NA,NA
14674977,Control,Depression,Q5,0,C,6,NA,NA
14674977,Control,Depression,Q6,1,B,6,NA,NA
14674977,Control,Depression,Q7,1,C,6,NA,NA
14674977,Control,Depression,Q8,0,D,6,NA,NA
14674977,Control,Depression,Q9,0,B,6,NA,NA
14674977,Control,Depression,Q10,0,C,6,NA,NA
14676753,Control,Star,Q1,1,C,6,NA,NA
14676753,Control,Star,Q2,1,A,6,NA,NA
14676753,Control,Star,Q3,1,B,6,NA,NA
14676753,Control,Star,Q4,0,C,6,NA,NA
14676753,Control,Star,Q5,1,C,6,NA,NA
14676753,Control,Star,Q6,0,B,6,NA,NA
14676753,Control,Star,Q7,0,A,6,NA,NA
14676753,Control,Star,Q8,1,C,6,NA,NA
14676753,Control,Star,Q9,0,C,6,NA,NA
14676753,Control,Star,Q10,1,C,6,NA,NA
14676753,Control,Reggaeton,Q1,1,B,6,NA,NA
14676753,Control,Reggaeton,Q2,1,A,6,NA,NA
14676753,Control,Reggaeton,Q3,1,B,6,NA,NA
14676753,Control,Reggaeton,Q4,0,C,6,NA,NA
14676753,Control,Reggaeton,Q5,1,C,6,NA,NA
14676753,Control,Reggaeton,Q6,1,D,6,NA,NA
14676753,Control,Reggaeton,Q7,1,C,6,NA,NA
14676753,Control,Reggaeton,Q8,1,A,6,NA,NA
14676753,Control,Reggaeton,Q9,1,B,6,NA,NA
14676753,Control,Reggaeton,Q10,1,C,6,NA,NA
14676753,Control,Charities,Q1,1,C,5,NA,NA
14676753,Control,Charities,Q2,1,D,5,NA,NA
14676753,Control,Charities,Q3,1,D,5,NA,NA
14676753,Control,Charities,Q4,1,B,5,NA,NA
14676753,Control,Charities,Q5,1,A,5,NA,NA
14676753,Control,Charities,Q6,1,A,5,NA,NA
14676753,Control,Charities,Q7,0,C,5,NA,NA
14676753,Control,Charities,Q8,0,B,5,NA,NA
14676753,Control,Charities,Q9,1,D,5,NA,NA
14676753,Control,Charities,Q10,1,B,5,NA,NA
14676753,Control,Migration,Q1,0,A,5,NA,NA
14676753,Control,Migration,Q2,1,A,5,NA,NA
14676753,Control,Migration,Q3,0,B,5,NA,NA
14676753,Control,Migration,Q4,1,C,5,NA,NA
14676753,Control,Migration,Q5,1,C,5,NA,NA
14676753,Control,Migration,Q6,1,C,5,NA,NA
14676753,Control,Migration,Q7,0,B,5,NA,NA
14676753,Control,Migration,Q8,0,B,5,NA,NA
14676753,Control,Migration,Q9,1,B,5,NA,NA
14676753,Control,Migration,Q10,0,D,5,NA,NA
14676753,Control,Depression,Q1,1,D,5,NA,NA
14676753,Control,Depression,Q2,1,A,5,NA,NA
14676753,Control,Depression,Q3,1,C,5,NA,NA
14676753,Control,Depression,Q4,1,B,5,NA,NA
14676753,Control,Depression,Q5,0,D,5,NA,NA
14676753,Control,Depression,Q6,1,B,5,NA,NA
14676753,Control,Depression,Q7,1,C,5,NA,NA
14676753,Control,Depression,Q8,0,C,5,NA,NA
14676753,Control,Depression,Q9,0,A,5,NA,NA
14676753,Control,Depression,Q10,1,B,5,NA,NA
14690676,Control,Depression,Q1,1,D,7,NA,NA
14690676,Control,Depression,Q2,0,D,7,NA,NA
14690676,Control,Depression,Q3,1,C,7,NA,NA
14690676,Control,Depression,Q4,0,D,7,NA,NA
14690676,Control,Depression,Q5,1,A,7,NA,NA
14690676,Control,Depression,Q6,1,B,7,NA,NA
14690676,Control,Depression,Q7,1,C,7,NA,NA
14690676,Control,Depression,Q8,1,A,7,NA,NA
14690676,Control,Depression,Q9,1,C,7,NA,NA
14690676,Control,Depression,Q10,1,B,7,NA,NA
14690676,Control,Star,Q1,1,C,6,NA,NA
14690676,Control,Star,Q2,1,A,6,NA,NA
14690676,Control,Star,Q3,1,B,6,NA,NA
14690676,Control,Star,Q4,1,B,6,NA,NA
14690676,Control,Star,Q5,1,C,6,NA,NA
14690676,Control,Star,Q6,0,B,6,NA,NA
14690676,Control,Star,Q7,0,C,6,NA,NA
14690676,Control,Star,Q8,0,B,6,NA,NA
14690676,Control,Star,Q9,0,C,6,NA,NA
14690676,Control,Star,Q10,0,D,6,NA,NA
14690676,Control,Migration,Q1,1,C,5,NA,NA
14690676,Control,Migration,Q2,1,A,5,NA,NA
14690676,Control,Migration,Q3,1,A,5,NA,NA
14690676,Control,Migration,Q4,0,A,5,NA,NA
14690676,Control,Migration,Q5,1,C,5,NA,NA
14690676,Control,Migration,Q6,1,C,5,NA,NA
14690676,Control,Migration,Q7,0,A,5,NA,NA
14690676,Control,Migration,Q8,1,C,5,NA,NA
14690676,Control,Migration,Q9,1,B,5,NA,NA
14690676,Control,Migration,Q10,0,B,5,NA,NA
14690676,Control,Charities,Q1,1,C,7,NA,NA
14690676,Control,Charities,Q2,1,D,7,NA,NA
14690676,Control,Charities,Q3,1,D,7,NA,NA
14690676,Control,Charities,Q4,1,B,7,NA,NA
14690676,Control,Charities,Q5,1,A,7,NA,NA
14690676,Control,Charities,Q6,1,A,7,NA,NA
14690676,Control,Charities,Q7,1,B,7,NA,NA
14690676,Control,Charities,Q8,1,A,7,NA,NA
14690676,Control,Charities,Q9,1,D,7,NA,NA
14690676,Control,Charities,Q10,1,B,7,NA,NA
14690676,Control,Reggaeton,Q1,1,B,5,NA,NA
14690676,Control,Reggaeton,Q2,1,A,5,NA,NA
14690676,Control,Reggaeton,Q3,1,B,5,NA,NA
14690676,Control,Reggaeton,Q4,0,C,5,NA,NA
14690676,Control,Reggaeton,Q5,1,C,5,NA,NA
14690676,Control,Reggaeton,Q6,1,D,5,NA,NA
14690676,Control,Reggaeton,Q7,1,C,5,NA,NA
14690676,Control,Reggaeton,Q8,0,C,5,NA,NA
14690676,Control,Reggaeton,Q9,1,B,5,NA,NA
14690676,Control,Reggaeton,Q10,1,C,5,NA,NA
14695932,Control,Depression,Q1,0,B,6,NA,NA
14695932,Control,Depression,Q2,1,A,6,NA,NA
14695932,Control,Depression,Q3,1,C,6,NA,NA
14695932,Control,Depression,Q4,0,D,6,NA,NA
14695932,Control,Depression,Q5,0,B,6,NA,NA
14695932,Control,Depression,Q6,1,B,6,NA,NA
14695932,Control,Depression,Q7,0,D,6,NA,NA
14695932,Control,Depression,Q8,1,A,6,NA,NA
14695932,Control,Depression,Q9,0,D,6,NA,NA
14695932,Control,Depression,Q10,1,B,6,NA,NA
14695932,Control,Star,Q1,1,C,4,NA,NA
14695932,Control,Star,Q2,0,B,4,NA,NA
14695932,Control,Star,Q3,0,C,4,NA,NA
14695932,Control,Star,Q4,0,C,4,NA,NA
14695932,Control,Star,Q5,0,D,4,NA,NA
14695932,Control,Star,Q6,1,D,4,NA,NA
14695932,Control,Star,Q7,0,C,4,NA,NA
14695932,Control,Star,Q8,0,B,4,NA,NA
14695932,Control,Star,Q9,0,B,4,NA,NA
14695932,Control,Star,Q10,0,B,4,NA,NA
14695932,Control,Migration,Q1,1,C,3,NA,NA
14695932,Control,Migration,Q2,1,A,3,NA,NA
14695932,Control,Migration,Q3,1,A,3,NA,NA
14695932,Control,Migration,Q4,0,A,3,NA,NA
14695932,Control,Migration,Q5,1,C,3,NA,NA
14695932,Control,Migration,Q6,0,B,3,NA,NA
14695932,Control,Migration,Q7,0,A,3,NA,NA
14695932,Control,Migration,Q8,0,B,3,NA,NA
14695932,Control,Migration,Q9,0,A,3,NA,NA
14695932,Control,Migration,Q10,0,D,3,NA,NA
14695932,Control,Charities,Q1,0,A,6,NA,NA
14695932,Control,Charities,Q2,0,C,6,NA,NA
14695932,Control,Charities,Q3,1,D,6,NA,NA
14695932,Control,Charities,Q4,1,B,6,NA,NA
14695932,Control,Charities,Q5,1,A,6,NA,NA
14695932,Control,Charities,Q6,1,A,6,NA,NA
14695932,Control,Charities,Q7,0,A,6,NA,NA
14695932,Control,Charities,Q8,1,A,6,NA,NA
14695932,Control,Charities,Q9,1,D,6,NA,NA
14695932,Control,Charities,Q10,1,B,6,NA,NA
14695932,Control,Reggaeton,Q1,1,B,7,NA,NA
14695932,Control,Reggaeton,Q2,0,B,7,NA,NA
14695932,Control,Reggaeton,Q3,1,B,7,NA,NA
14695932,Control,Reggaeton,Q4,1,A,7,NA,NA
14695932,Control,Reggaeton,Q5,1,C,7,NA,NA
14695932,Control,Reggaeton,Q6,0,C,7,NA,NA
14695932,Control,Reggaeton,Q7,1,C,7,NA,NA
14695932,Control,Reggaeton,Q8,1,A,7,NA,NA
14695932,Control,Reggaeton,Q9,1,B,7,NA,NA
14695932,Control,Reggaeton,Q10,0,A,7,NA,NA
14592575,Control,Reggaeton,Q1,1,B,5,NA,NA
14592575,Control,Reggaeton,Q2,0,B,5,NA,NA
14592575,Control,Reggaeton,Q3,1,B,5,NA,NA
14592575,Control,Reggaeton,Q4,0,D,5,NA,NA
14592575,Control,Reggaeton,Q5,1,C,5,NA,NA
14592575,Control,Reggaeton,Q6,0,B,5,NA,NA
14592575,Control,Reggaeton,Q7,1,C,5,NA,NA
14592575,Control,Reggaeton,Q8,0,C,5,NA,NA
14592575,Control,Reggaeton,Q9,1,B,5,NA,NA
14592575,Control,Reggaeton,Q10,1,C,5,NA,NA
14592575,Control,Charities,Q1,1,C,6,NA,NA
14592575,Control,Charities,Q2,1,D,6,NA,NA
14592575,Control,Charities,Q3,1,D,6,NA,NA
14592575,Control,Charities,Q4,1,B,6,NA,NA
14592575,Control,Charities,Q5,1,A,6,NA,NA
14592575,Control,Charities,Q6,0,D,6,NA,NA
14592575,Control,Charities,Q7,1,B,6,NA,NA
14592575,Control,Charities,Q8,1,A,6,NA,NA
14592575,Control,Charities,Q9,1,D,6,NA,NA
14592575,Control,Charities,Q10,1,B,6,NA,NA
14592575,Control,Star,Q1,1,C,6,NA,NA
14592575,Control,Star,Q2,1,A,6,NA,NA
14592575,Control,Star,Q3,1,B,6,NA,NA
14592575,Control,Star,Q4,1,B,6,NA,NA
14592575,Control,Star,Q5,0,B,6,NA,NA
14592575,Control,Star,Q6,1,D,6,NA,NA
14592575,Control,Star,Q7,1,B,6,NA,NA
14592575,Control,Star,Q8,1,C,6,NA,NA
14592575,Control,Star,Q9,1,A,6,NA,NA
14592575,Control,Star,Q10,1,C,6,NA,NA
14592575,Control,Depression,Q1,1,D,5,NA,NA
14592575,Control,Depression,Q2,1,A,5,NA,NA
14592575,Control,Depression,Q3,1,C,5,NA,NA
14592575,Control,Depression,Q4,0,D,5,NA,NA
14592575,Control,Depression,Q5,1,A,5,NA,NA
14592575,Control,Depression,Q6,1,B,5,NA,NA
14592575,Control,Depression,Q7,1,C,5,NA,NA
14592575,Control,Depression,Q8,0,B,5,NA,NA
14592575,Control,Depression,Q9,1,C,5,NA,NA
14592575,Control,Depression,Q10,1,B,5,NA,NA
14592575,Control,Migration,Q1,1,C,5,NA,NA
14592575,Control,Migration,Q2,1,A,5,NA,NA
14592575,Control,Migration,Q3,1,A,5,NA,NA
14592575,Control,Migration,Q4,0,D,5,NA,NA
14592575,Control,Migration,Q5,1,C,5,NA,NA
14592575,Control,Migration,Q6,1,C,5,NA,NA
14592575,Control,Migration,Q7,1,D,5,NA,NA
14592575,Control,Migration,Q8,0,B,5,NA,NA
14592575,Control,Migration,Q9,1,B,5,NA,NA
14592575,Control,Migration,Q10,0,D,5,NA,NA
14547544,Control,Migration,Q1,1,C,5,NA,NA
14547544,Control,Migration,Q2,1,A,5,NA,NA
14547544,Control,Migration,Q3,1,A,5,NA,NA
14547544,Control,Migration,Q4,1,C,5,NA,NA
14547544,Control,Migration,Q5,1,C,5,NA,NA
14547544,Control,Migration,Q6,0,B,5,NA,NA
14547544,Control,Migration,Q7,1,D,5,NA,NA
14547544,Control,Migration,Q8,0,B,5,NA,NA
14547544,Control,Migration,Q9,1,B,5,NA,NA
14547544,Control,Migration,Q10,0,B,5,NA,NA
14547544,Control,Depression,Q1,1,D,5,NA,NA
14547544,Control,Depression,Q2,1,A,5,NA,NA
14547544,Control,Depression,Q3,1,C,5,NA,NA
14547544,Control,Depression,Q4,0,A,5,NA,NA
14547544,Control,Depression,Q5,1,A,5,NA,NA
14547544,Control,Depression,Q6,1,B,5,NA,NA
14547544,Control,Depression,Q7,1,C,5,NA,NA
14547544,Control,Depression,Q8,1,A,5,NA,NA
14547544,Control,Depression,Q9,0,D,5,NA,NA
14547544,Control,Depression,Q10,0,A,5,NA,NA
14547544,Control,Reggaeton,Q1,0,D,6,NA,NA
14547544,Control,Reggaeton,Q2,0,D,6,NA,NA
14547544,Control,Reggaeton,Q3,0,D,6,NA,NA
14547544,Control,Reggaeton,Q4,1,A,6,NA,NA
14547544,Control,Reggaeton,Q5,1,C,6,NA,NA
14547544,Control,Reggaeton,Q6,1,D,6,NA,NA
14547544,Control,Reggaeton,Q7,1,C,6,NA,NA
14547544,Control,Reggaeton,Q8,0,D,6,NA,NA
14547544,Control,Reggaeton,Q9,1,B,6,NA,NA
14547544,Control,Reggaeton,Q10,1,C,6,NA,NA
14547544,Control,Charities,Q1,0,D,4,NA,NA
14547544,Control,Charities,Q2,0,C,4,NA,NA
14547544,Control,Charities,Q3,0,C,4,NA,NA
14547544,Control,Charities,Q4,1,B,4,NA,NA
14547544,Control,Charities,Q5,1,A,4,NA,NA
14547544,Control,Charities,Q6,0,C,4,NA,NA
14547544,Control,Charities,Q7,1,B,4,NA,NA
14547544,Control,Charities,Q8,0,C,4,NA,NA
14547544,Control,Charities,Q9,1,D,4,NA,NA
14547544,Control,Charities,Q10,0,A,4,NA,NA
14547544,Control,Star,Q1,1,C,6,NA,NA
14547544,Control,Star,Q2,1,A,6,NA,NA
14547544,Control,Star,Q3,1,B,6,NA,NA
14547544,Control,Star,Q4,0,C,6,NA,NA
14547544,Control,Star,Q5,1,C,6,NA,NA
14547544,Control,Star,Q6,1,D,6,NA,NA
14547544,Control,Star,Q7,1,B,6,NA,NA
14547544,Control,Star,Q8,0,B,6,NA,NA
14547544,Control,Star,Q9,0,C,6,NA,NA
14547544,Control,Star,Q10,0,B,6,NA,NA
14708995,Control,Migration,Q1,0,A,5,NA,NA
14708995,Control,Migration,Q2,0,B,5,NA,NA
14708995,Control,Migration,Q3,0,D,5,NA,NA
14708995,Control,Migration,Q4,1,C,5,NA,NA
14708995,Control,Migration,Q5,0,B,5,NA,NA
14708995,Control,Migration,Q6,0,B,5,NA,NA
